neighborhood,pay type,# rides
New Dorp,UNK,1
New Dorp Beach,CRD,152
New Dorp Beach,CSH,147
New Dorp Beach,NOC,1
New Utrecht,CRD,4423
New Utrecht,CSH,5305
New Utrecht,DIS,23
New Utrecht,NOC,49
New Utrecht,UNK,8
NoHo,CRD,530462
NoHo,CSH,345563
NoHo,DIS,638
NoHo,NOC,1937
NoHo,UNK,1026
North Beach,CRD,340110
North Beach,CSH,169463
North Beach,DIS,627
North Beach,NOC,1769
North Beach,UNK,694
Oakland Gardens,CRD,2965
Oakland Gardens,CSH,3474
Oakland Gardens,DIS,16
Oakland Gardens,NOC,31
Oakland Gardens,UNK,3
Old Germania Heights,CRD,9294
Old Germania Heights,CSH,10923
Old Germania Heights,DIS,39
Old Germania Heights,NOC,67
Old Germania Heights,UNK,16
Old Town Station,CRD,261
Old Town Station,CSH,153
Old Town Station,DIS,2
Old Town Station,NOC,3
Ozone Park,CRD,3537
Ozone Park,CSH,6996
Ozone Park,DIS,29
Ozone Park,NOC,75
Ozone Park,UNK,3
Paerdegat,CRD,2419
Paerdegat,CSH,3911
Paerdegat,DIS,16
Paerdegat,NOC,46
Paerdegat,UNK,7
Park Slope,CRD,101828
Park Slope,CSH,61378
Park Slope,DIS,145
Park Slope,NOC,525
Park Slope,UNK,280
Park West Village,CRD,683263
Park West Village,CSH,647299
Park West Village,DIS,793
Park West Village,NOC,2522
Park West Village,UNK,1984
Parkchester,CRD,4438
Parkchester,CSH,7889
Parkchester,DIS,29
Parkchester,NOC,84
Parkchester,UNK,5
Parkside,CRD,4147
Parkside,CSH,5622
Parkside,DIS,20
Parkside,NOC,34
Parkside,UNK,3
Parkville,CRD,9941
Parkville,CSH,10576
Parkville,DIS,49
Parkville,NOC,129
Parkville,UNK,27
Parsons Beach,CRD,2353
Parsons Beach,CSH,1769
Parsons Beach,DIS,12
Parsons Beach,NOC,26
Parsons Beach,UNK,4
Pelham Bay,CRD,1784
Pelham Bay,CSH,1725
Pelham Bay,DIS,4
Pelham Bay,NOC,19
Pelham Bay,UNK,1
Pleasant Plains,CRD,1136
Pleasant Plains,CSH,856
Pleasant Plains,DIS,7
Pleasant Plains,NOC,11
Pleasant Plains,UNK,10
